,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
AC005757.6,0.000365217792464852,0.0109834093119162,3.18154046995866,0.00345222995452228,0.997245524490203,NA,NOT_CHANGE
NKPD1,0.00111559583726262,0.0132368521211159,2.46052597879204,0.00537968395180866,0.995707653936994,NA,NOT_CHANGE
TRAPPC6A,0.635101952303365,0.44688490006098,0.0555246973125092,8.04839867105949,8.38843175483006e-16,1.01914624883395e-14,NOT_CHANGE
BLOC1S3,0.059269956549814,0.0593067938420403,0.177966227638848,0.333247462897249,0.738947493415697,0.999999101432458,NOT_CHANGE
EXOC3L2,0.000440368394209299,0.0109834093119165,3.18154046995866,0.00345222995452239,0.997245524490203,NA,NOT_CHANGE
CKM,0.00266134867258731,0.0168246773094694,1.53808676979992,0.0109387049156258,0.991272350284531,0.999999101432458,NOT_CHANGE
KLC3,0.0189734390014899,0.0949523322821993,0.401726554981994,0.23636060674768,0.813152861490776,0.999999101432458,NOT_CHANGE
ERCC2,0.0827310002025216,0.164722497652661,0.138915181101254,1.18577751075742,0.23571017504951,0.663614196843235,NOT_CHANGE
PPP1R13L,0.111467354869792,0.146500507104279,0.116172587437534,1.2610591735598,0.207287528426428,0.600899328204962,NOT_CHANGE
CD3EAP,0.215314506051215,0.424178060993634,0.084896111595116,4.9964368570449,5.83992849200906e-07,4.14108472355795e-06,NOT_CHANGE
ERCC1,0.217210041896975,-0.230672128753528,0.0762466269922856,-3.02534207548443,0.00248352063892109,0.0117256563499256,NOT_CHANGE
FOSB,1.12143709777447,0.76942017338848,0.0780922922239892,9.85270314747044,6.67248106137122e-23,1.1172772248506e-21,NOT_CHANGE
RTN2,0.0241585647433473,0.0181733087810664,0.343582595728377,0.0528935662254368,0.957816710630528,0.999999101432458,NOT_CHANGE
PPM1N,0.0755197276845795,0.0872821847892459,0.15057204475903,0.579670581806399,0.562136785432417,0.999999101432458,NOT_CHANGE
VASP,0.526404391115898,-0.261207332269486,0.056061183642254,-4.65932603093686,3.17246385657309e-06,2.11064943911739e-05,NOT_CHANGE
OPA3,0.0914788427455564,0.0359635726120345,0.130342421742596,0.275916099541684,0.782612508085316,0.999999101432458,NOT_CHANGE
EML2,0.210252472336569,-0.290852926974299,0.0766818276312282,-3.79298376106845,0.000148847893970058,0.000836873531523146,NOT_CHANGE
GIPR,0.00891211966568259,0.0216717012756337,0.751871368446448,0.0288236820620165,0.9770052131706,0.999999101432458,NOT_CHANGE
SNRPD2,6.03600004499757,0.552748739821209,0.0386696255362545,14.2941322072794,2.38054697686346e-46,8.51158783778327e-45,NOT_CHANGE
QPCTL,0.00573870749160409,-0.0109532395752643,0.856443194731931,-0.0127892189962379,0.989795957788135,0.999999101432458,NOT_CHANGE
FBXO46,0.089643797052094,0.108561757229615,0.126599612593804,0.857520453699461,0.391157315853769,0.967708093288317,NOT_CHANGE
BHMG1,5.33501825927249e-05,0.00810272961132539,3.18154046849419,0.00254679445116735,0.997967954224572,NA,NOT_CHANGE
SIX5,0.0443378991122559,0.0839083326706445,0.21975031824572,0.381834863041335,0.702583857570816,0.999999101432458,NOT_CHANGE
AC074212.6,0.00255134852563762,0.0101951988976896,1.54402844681044,0.00660298644027589,0.994731617347221,0.999999101432458,NOT_CHANGE
DMPK,0.033095899932693,-0.0109358295705239,0.27508974682944,-0.0397536792867247,0.968289505588404,0.999999101432458,NOT_CHANGE
DMWD,0.0977198032167138,0.195281491952359,0.122598363166213,1.5928556214703,0.111192583894589,0.360989903171349,NOT_CHANGE
SYMPK,0.241257754902184,0.240153513273563,0.0708396487184542,3.39010028448943,0.000698670600565801,0.00359037289479454,NOT_CHANGE
AC092301.3,0.00170627950561428,0.0190026290596991,1.93309912098115,0.00983013693061651,0.992156811829313,0.999999101432458,NOT_CHANGE
FOXA3,0.19289677487213,-0.292353058269704,0.0832893803870445,-3.51008804377153,0.000447958341139765,0.00237116477788911,NOT_CHANGE
IRF2BP1,0.0797184407413081,0.0728522794750257,0.142582072154781,0.510949787543698,0.60938621730163,0.999999101432458,NOT_CHANGE
MYPOP,0.0412198651118302,-0.000973488208919058,0.226647527770151,-0.00429516358945814,0.996572965823086,0.999999101432458,NOT_CHANGE
NOVA2,0.000209757109921993,0.00854758934599255,3.18154046847273,0.00268661971478733,0.997856390187559,NA,NOT_CHANGE
CCDC61,0.0461390302148726,-0.0104840995198815,0.214763289127081,-0.0488170001609436,0.961065134157288,0.999999101432458,NOT_CHANGE
CTC-344H19.4,0.000321160023858198,0.00943730881631792,3.18154046842982,0.00296627024234442,0.997633262241191,NA,NOT_CHANGE
IGFL4,0.00445947934188462,-0.00153299217998955,1.12993463792762,-0.00135670872325957,0.998917503388289,0.999999101432458,NOT_CHANGE
IGFL2,0.0179387361325137,0.0861132654268497,0.491294341896787,0.175278357764887,0.860860916512063,0.999999101432458,NOT_CHANGE
AC006262.5,0.00145195232656512,0.0132369382725054,2.45097462285841,0.0054006835277095,0.995690898943002,NA,NOT_CHANGE
IGFL1,0.000230410678467329,0.00854758934599184,3.18154046847273,0.00268661971478711,0.997856390187559,NA,NOT_CHANGE
HIF3A,0.00503154368286768,0.0321695119754692,0.956101550828573,0.0336465430346709,0.97315900728638,0.999999101432458,NOT_CHANGE
PPP5C,0.190586565769499,0.0804823751313576,0.0845499740350975,0.951891186837604,0.341152169616397,0.877367015290832,NOT_CHANGE
AC007193.9,0.000523741623222983,0.00922575735675894,3.18154046683385,0.00289977683858916,0.997686316073231,NA,NOT_CHANGE
AC007193.8,0.00238604460858912,0.0238990083287839,1.46658403903811,0.0162956964569576,0.986998490816537,0.999999101432458,NOT_CHANGE
CCDC8,0.000203431978493696,0.0100936898389209,3.18154047000155,0.00317257942625383,0.997468652104318,NA,NOT_CHANGE
LLNLF-187D8.1,0.000205719437379408,0.0100936898389209,3.18154047000155,0.00317257942625383,0.997468652104318,NA,NOT_CHANGE
PNMAL1,0.0021009601476945,0.0179020783624722,1.83961935297831,0.00973140358275153,0.99223558587519,0.999999101432458,NOT_CHANGE
PPP5D1,0.0142667380167909,0.0345353642886044,0.503592906302075,0.0685779403490816,0.945325578570434,0.999999101432458,NOT_CHANGE
PNMAL2,0.00032878500557526,0.00943730881631792,3.18154046842982,0.00296627024234442,0.997633262241191,NA,NOT_CHANGE
CALM3,1.08366014509997,-0.0401371561676315,0.0484019832836341,-0.829246106144638,0.406965160266497,0.99406965179465,NOT_CHANGE
CTB-12A17.3,0.0001016960011088,0.00964883010299352,3.181540470023,0.00303275416230168,0.997580215986556,NA,NOT_CHANGE
PTGIR,0.00498792508018162,0.027975789578495,0.946899088427368,0.0295446367204322,0.976430219509614,0.999999101432458,NOT_CHANGE
GNG8,0.000249030944102566,0.00854758934599262,3.18154046847273,0.00268661971478735,0.997856390187559,NA,NOT_CHANGE
DACT3,0.00457307185389113,0.0266180256841982,1.00237743348192,0.0265548931920148,0.978814750577633,0.999999101432458,NOT_CHANGE
