1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
ABLIM2,2.398686171,2.698959589,2.903643608,2.435168982,2.589296103,2.48374939,2.338062286,2.975365162,2.642930269,2.369932175,2.546934605,2.583585262,2.528782845,2.557985306,2.709474087,2.560108185,2.761037111,2.515206337,2.635808468,2.753966331,2.61034894,2.652677059,2.451109171,2.724533796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLIM3,1.232403994,1.418104529,1.419077158,1.337360859,1.224661112,1.196018815,1.239025354,1.40098083,1.195694447,1.305097818,1.261791348,1.521570444,1.439903021,1.191080689,1.412721395,1.379362464,1.380921364,1.381599426,1.268852115,1.213968039,1.407057524,1.18302083,1.361292839,1.051063061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABO,1.869773149,2.123986959,2.068468809,2.023917913,1.997663498,1.682718515,1.981990337,2.178345442,1.966990232,1.643535256,1.602772713,1.897639632,1.94546032,1.851001501,2.04200983,1.994732618,1.963615894,2.203975201,1.750597954,1.839993119,2.067141771,1.821499348,1.973690748,2.275825262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR,0.834027052,0.87760967,0.744198143,0.469583571,0.766295552,0.457472414,0.487852812,0.746290326,0.577825904,0.505131245,0.547981024,0.538190484,0.797780037,0.533822238,0.728879929,0.711634934,0.907783091,0.808830917,0.866695762,0.736217916,0.887029171,0.491862983,0.709148169,0.385651469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC083843.1,2.622582436,2.440822363,2.4412992,2.820641518,3.061717272,2.830452442,2.900235176,2.922924995,2.554426193,3.374441147,3.057943821,3.006652594,3.201896667,3.155927896,2.764222145,2.869941711,2.919394016,2.802772522,2.828137875,3.039571762,2.98115015,3.210039377,3.390282154,2.848266363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAA2,0.592204511,0.290197432,0.281723946,0.115331337,0.372530192,0,0.13843596,0.35024491,0.255505562,0,0,0.086428866,0.350997329,0,0.089292482,0.2692931,0.506520152,0.376592249,0.204559639,0.266105592,0.315148056,0.271063983,0.2997244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACA,1.091217518,1.014256477,1.021192789,0.996711195,0.899903536,0.94563961,0.790617108,0.899382234,1.259484291,0.683032155,0.5636217,0.683860719,0.926038623,0.587256432,0.71971488,0.927120149,0.92444545,0.925900221,1.020606041,0.912056804,0.885377407,1.113420725,0.708185613,0.885151982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACB,2.086025715,1.813909054,1.82630825,1.851769567,1.900504827,1.892462492,1.992434978,2.141928196,1.935563087,1.886460185,1.659957886,1.788894892,1.90446806,1.965328217,1.716037273,1.885064483,1.972381711,1.898914933,1.865045071,1.602970123,1.916077852,2.253136158,2.030556917,2.175937176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,0.584897876,0.273841113,0.306987524,0.194786504,0.4864676,0,0.235685676,0.396811515,0.427901655,0.092208661,0,0.213947028,0.261974424,0,0.223852172,0.387113124,0.556980729,0.390226364,0.485160053,0.616609514,0.473271668,0.609425545,0.352161318,0.348831356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADSB,1.650009871,1.710964084,1.528932571,1.182432413,1.576166868,1.356918097,1.377745986,1.396567345,1.622101068,1.060564518,1.264348865,1.337162971,1.628718972,1.343644142,1.46434474,1.477692127,1.715644956,1.580948234,1.227271438,1.763768196,1.792741179,1.80402422,1.653551579,1.439528942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP1,0,0,0,0,0,0,0,0,0,0,0,0,0.22055757,0,0,0,0,0.479673654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP3,0.132739365,0.399591774,0.309604466,0.230003417,0.202956051,0,0,0.518476665,0.334989876,0,0,0.228313193,0.11774087,0.133472279,0.294450015,0.14967525,0.515832782,0.198405623,0.533060968,0.457629889,0.210952312,0.146916822,0.225523472,0.079726063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT2,0.764556468,0.812357187,0.700227499,0.375662208,0.682246149,0.521776855,0.465360373,0.719880342,0.940266967,0.385586262,0.350118995,0.565177739,0.674559057,0.467394054,0.635798216,0.662016392,0.853204787,0.705559611,0.644259751,1.023511052,0.65983355,1.053701997,0.590984523,0.610812485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACBD3,0.211727321,0.2737391,0.080637097,0,0.173977405,0,0,0,0.059924372,0,0,0,0.143532574,0,0,0.090402022,0.159048125,0.072702095,0.059528932,0.22935161,0,0.162504792,0.064883985,0.295121968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
